trade_id,symbol,entry_date,exit_date,hold_days,shares,entry_px,exit_px,entry_mkt_px,exit_mkt_px,gross_pnl,entry_fees,exit_fees,total_fees,net_pnl,return_pct,reason_entry,reason_exit,status
1,ISRG,2006-01-31,2006-02-28,28,3270.5956907809773,15.2674522,10.0121778,10.0222,10.0222,-17187.877806511584,16.352978453904885,17.80623017736529,34.159208631270175,-17222.037015142854,-0.3442142363478302,entry_new,exit_rank_or_left_ndx,CLOSED
2,VRTX,2006-02-28,2006-05-31,92,756.4453718631007,43.28324,34.4655,34.5,34.5,-6670.138613292138,3.7822268593155037,4.6325780404425245,8.414804899758028,-6678.553418191896,-0.20372181010478885,entry_new,exit_rank_or_left_ndx,CLOSED
3,TCOM,2006-05-31,2006-07-31,61,4403.825534425324,5.915609699999999,6.241752,5.915609699999999,6.248,1436.2737885962076,22.01912767212662,23.514317624914003,45.53344529704062,1390.740343299167,0.055132491245999615,entry_new,exit_rank_or_left_ndx,CLOSED
4,GRMN,2006-07-31,2006-08-31,31,1084.8812067640106,25.308983699999995,24.8675076,24.892400000000002,24.8924,-478.9491241254642,5.424406033820053,6.354492822132452,11.778898855952505,-490.7280229814167,-0.01744345427825278,entry_new,exit_rank_or_left_ndx,CLOSED
5,LBTYA,2006-08-31,2006-10-31,61,5256.9462717392125,5.125820699999999,5.6854089,5.125820699999999,5.6911,2941.7251016992586,26.284731358696064,27.98826775734544,54.272999116041504,2887.452102583217,0.10917045927884295,entry_new,exit_rank_or_left_ndx,CLOSED
6,AKAM,2006-10-31,2006-11-30,30,636.4486570734979,46.906859999999995,48.82113,46.906859999999995,48.87,1218.334570776086,3.1822432853674893,4.151699327425326,7.333942612792815,1211.000628163293,0.04081002224408126,entry_new,exit_rank_or_left_ndx,CLOSED
7,CSCO,2006-11-30,2007-01-31,62,1798.1528734791166,17.272054799999996,17.0517312,17.0688,17.0688,-396.1755144352578,8.990764367395583,10.14165076524416,19.132415132639743,-415.30792956789753,-0.012756073469613827,entry_new,exit_rank_or_left_ndx,CLOSED
8,WYNN,2007-01-31,2007-04-30,89,480.60802811164103,63.77230859999999,58.216725,58.275000000000006,58.275,-2670.0580790053677,2.4030401405582054,3.260649099493959,5.663689240052165,-2675.7217682454198,-0.0871159241677506,entry_new,exit_rank_or_left_ndx,CLOSED
9,ISRG,2007-04-30,2008-02-29,305,1939.4728248883798,14.421006599999998,31.2930756,14.421006599999998,31.3244,32722.91932514167,9.697364124441899,11.706556151961268,21.403920276403166,32701.515404865266,1.1699647235443331,entry_new,exit_rank_or_left_ndx,CLOSED
10,STLD,2008-02-29,2008-06-30,122,3138.8374635576274,19.3166974,25.959015,19.3166974,25.985,20849.155327728193,15.694187317788137,18.480409717352416,34.17459703514055,20814.980730693052,0.34386403961579903,entry_new,exit_rank_or_left_ndx,CLOSED
11,BBBY,2008-06-30,2008-09-30,92,3696.775981461294,22.025503499999996,16.7805027,16.7973,16.7973,-19389.592980185258,18.48387990730647,20.822083229831183,39.30596313713765,-19428.898943322398,-0.23813307150957963,entry_new,exit_rank_or_left_ndx,CLOSED
12,AMGN,2008-09-30,2008-12-31,92,1557.2172011318494,39.830390599999994,38.7313299,38.7701,38.7701,-1711.476227128004,7.786086005659247,9.721288050422322,17.50737405608157,-1728.9836011840855,-0.0275935205114457,entry_new,exit_rank_or_left_ndx,CLOSED
13,RYAAY,2008-12-31,2009-03-31,90,6396.64820314203,9.422613199999999,7.473219299999999,7.4807,7.4807,-12469.586987651031,31.983241015710153,34.3740234410672,66.35726445677736,-12535.944252107809,-0.20688463578235383,entry_new,exit_rank_or_left_ndx,CLOSED
14,JAVA,2009-03-31,2009-06-30,91,6986.522926282716,6.8341273,8.5908006,6.8341273,8.5994,12273.038284438717,34.93261463141358,37.760928581823755,72.69354321323733,12200.344741225479,0.2570442754263591,entry_new,exit_rank_or_left_ndx,CLOSED
15,STX,2009-06-30,2009-07-31,31,11080.906654872182,5.407001599999999,6.2112825,5.407001599999999,6.2175,8912.1615771966,55.404533274360915,59.15734441525894,114.56187768961985,8797.599699506982,0.1487480417982494,entry_new,exit_rank_or_left_ndx,CLOSED
16,ISRG,2009-07-31,2009-09-30,61,2719.016437710582,25.283057799999998,29.1097611,25.283057799999998,29.1389,10404.869174941334,13.59508218855291,16.246806663431506,29.841888851984415,10375.02728608935,0.15135444969793177,entry_new,exit_rank_or_left_ndx,CLOSED
17,FLEX,2009-09-30,2009-11-30,61,14029.388274140952,5.6348291999999995,5.3224722,5.3278,5.3278,-4382.1776331458395,70.14694137070477,74.55167443241713,144.6986158031219,-4526.876248948961,-0.055433268500844624,entry_new,exit_rank_or_left_ndx,CLOSED
18,BKNG,2009-11-30,2010-03-31,121,8880.977208471244,8.395086699999998,9.9778122,8.395086699999998,9.9878,14056.149092766274,44.40488604235622,48.3425619510957,92.74744799345191,13963.401644772823,0.18852997670649452,entry_new,exit_rank_or_left_ndx,CLOSED
19,BIDU,2010-03-31,2010-08-31,153,1481.6502011785458,59.759699999999995,78.35157000000001,59.759699999999995,78.43,27546.64792578539,7.408251005892729,10.881496360086073,18.2897473659788,27528.35817841941,0.3111104975426586,entry_new,exit_rank_or_left_ndx,CLOSED
